"sourceCode";"sourceName";"targetCode";"targetName"
"0301010201";"Oslo LKS 010201";"03012401";"Tøyen Rode 1"
"0301010202";"Oslo LKS 010202";"03012502";"Grønland Rode 2"
"0301010202";"Oslo LKS 010202";"03012503";"Grønland Rode 3"
"0301010203";"Oslo LKS 010203";"03012504";"Grønland Rode 4"
"0301010204";"Oslo LKS 010204";"03012507";"Grønland Rode 7"
"0301010204";"Oslo LKS 010204";"03012509";"Grønland Rode 9"
"0301010205";"Oslo LKS 010205";"03012508";"Grønland Rode 8"
"0301010301";"Oslo LKS 010301";"03012505";"Grønland Rode 5"
"0301010301";"Oslo LKS 010301";"03012506";"Grønland Rode 6"
"0301010302";"Oslo LKS 010302";"03012601";"Kampen Rode 1"
"0301010303";"Oslo LKS 010303";"03012605";"Kampen Rode 5"
"0301010304";"Oslo LKS 010304";"03012803";"Gamlebyen Rode 3"
"0301010304";"Oslo LKS 010304";"03012804";"Gamlebyen Rode 4"
"0301010401";"Oslo LKS 010401";"03012408";"Tøyen Rode 8"
"0301010401";"Oslo LKS 010401";"03012409";"Tøyen Rode 9"
"0301010402";"Oslo LKS 010402";"03012602";"Kampen Rode 2"
"0301010403";"Oslo LKS 010403";"03012604";"Kampen Rode 4"
"0301010403";"Oslo LKS 010403";"03012606";"Kampen Rode 6"
"0301010501";"Oslo LKS 010501";"03012603";"Kampen Rode 3"
"0301010501";"Oslo LKS 010501";"03012608";"Kampen Rode 8"
"0301010502";"Oslo LKS 010502";"03012607";"Kampen Rode 7"
"0301010502";"Oslo LKS 010502";"03012609";"Kampen Rode 9"
"0301010502";"Oslo LKS 010502";"03012610";"Kampen Rode 10"
"0301010601";"Oslo LKS 010601";"03012701";"Vålerenga Rode 1"
"0301010601";"Oslo LKS 010601";"03012702";"Vålerenga Rode 2"
"0301010602";"Oslo LKS 010602";"03012703";"Vålerenga Rode 3"
"0301010603";"Oslo LKS 010603";"03012704";"Vålerenga Rode 4"
"0301010603";"Oslo LKS 010603";"03012705";"Vålerenga Rode 5"
"0301010603";"Oslo LKS 010603";"03012706";"Vålerenga Rode 6"
"0301010801";"Oslo LKS 010801";"03012801";"Gamlebyen Rode 1"
"0301010801";"Oslo LKS 010801";"03012802";"Gamlebyen Rode 2"
"0301010802";"Oslo LKS 010802";"03012805";"Gamlebyen Rode 5"
"0301010803";"Oslo LKS 010803";"03013513";"Ryenberget"
"0301010804";"Oslo LKS 010804";"03013514";"Nygårdskollen"
"0301010804";"Oslo LKS 010804";"03013516";"Kværner Øst"
"0301010804";"Oslo LKS 010804";"03013517";"Kværner Sør"
"0301010805";"Oslo LKS 010805";"03013515";"Kværner Nord"
"0301010901";"Oslo LKS 010901";"03012902";"Loenga Sør"
"0301010901";"Oslo LKS 010901";"03013001";"Grønlia"
"0301010901";"Oslo LKS 010901";"03015701";"Øyene"
"0301010902";"Oslo LKS 010902";"03012903";"Loenga Nord"
"0301011001";"Oslo LKS 011001";"03014211";"Ensjø Øst"
"0301011002";"Oslo LKS 011002";"03014202";"Valle"
"0301011003";"Oslo LKS 011003";"03014212";"Ensjø Vest"
"0301011004";"Oslo LKS 011004";"03014213";"Ensjø Nord"
"0301011005";"Oslo LKS 011005";"03014214";"Ensjø Sør"
"0301011101";"Oslo LKS 011101";"03014203";"Etterstad"
"0301011101";"Oslo LKS 011101";"03014204";"Helsfyr"
"0301011102";"Oslo LKS 011102";"03014210";"Brynseng"
"0301020101";"Oslo LKS 020101";"03010210";"Sentrum 2  - Rode 10"
"0301020102";"Oslo LKS 020102";"03010207";"Sentrum 2  - Rode 7"
"0301020102";"Oslo LKS 020102";"03012301";"Grünerløkka Rode 1"
"0301020103";"Oslo LKS 020103";"03011305";"Gamle Aker Rode 5"
"0301020104";"Oslo LKS 020104";"03012302";"Grünerløkka Rode 2"
"0301020104";"Oslo LKS 020104";"03012303";"Grünerløkka Rode 3"
"0301020201";"Oslo LKS 020201";"03012306";"Grünerløkka Rode 6"
"0301020201";"Oslo LKS 020201";"03012311";"Grünerløkka Rode 11"
"0301020202";"Oslo LKS 020202";"03012304";"Grünerløkka Rode 4"
"0301020202";"Oslo LKS 020202";"03012305";"Grünerløkka Rode 5"
"0301020202";"Oslo LKS 020202";"03012312";"Grünerløkka Rode 12"
"0301020301";"Oslo LKS 020301";"03012007";"Torshov Rode 7"
"0301020301";"Oslo LKS 020301";"03012008";"Torshov Rode 8"
"0301020302";"Oslo LKS 020302";"03012202";"Rodeløkka Rode 2"
"0301020302";"Oslo LKS 020302";"03012313";"Grünerløkka Rode 13"
"0301020401";"Oslo LKS 020401";"03012201";"Rodeløkka Rode 1"
"0301020402";"Oslo LKS 020402";"03012203";"Rodeløkka Rode 3"
"0301020402";"Oslo LKS 020402";"03012207";"Rodeløkka Rode 7"
"0301020403";"Oslo LKS 020403";"03012204";"Rodeløkka Rode 4"
"0301020403";"Oslo LKS 020403";"03012205";"Rodeløkka Rode 5"
"0301020403";"Oslo LKS 020403";"03012206";"Rodeløkka Rode 6"
"0301020404";"Oslo LKS 020404";"03012208";"Rodeløkka Rode 8"
"0301020501";"Oslo LKS 020501";"03012101";"Sinsen Rode 1"
"0301020502";"Oslo LKS 020502";"03012103";"Sinsen Rode 3"
"0301020502";"Oslo LKS 020502";"03012104";"Sinsen Rode 4"
"0301020502";"Oslo LKS 020502";"03012105";"Sinsen Rode 5"
"0301020503";"Oslo LKS 020503";"03012106";"Sinsen Rode 6"
"0301020503";"Oslo LKS 020503";"03012107";"Sinsen Rode 7"
"0301020504";"Oslo LKS 020504";"03012108";"Sinsen Rode 8"
"0301020504";"Oslo LKS 020504";"03012109";"Sinsen Rode 9"
"0301020601";"Oslo LKS 020601";"03012307";"Grünerløkka Rode 7"
"0301020601";"Oslo LKS 020601";"03012402";"Tøyen Rode 2"
"0301020602";"Oslo LKS 020602";"03012209";"Rodeløkka Rode 9"
"0301020602";"Oslo LKS 020602";"03012308";"Grünerløkka Rode 8"
"0301020602";"Oslo LKS 020602";"03012309";"Grünerløkka Rode 9"
"0301020602";"Oslo LKS 020602";"03012310";"Grünerløkka Rode 10"
"0301020603";"Oslo LKS 020603";"03012403";"Tøyen Rode 3"
"0301020603";"Oslo LKS 020603";"03012404";"Tøyen Rode 4"
"0301020604";"Oslo LKS 020604";"03012405";"Tøyen Rode 5"
"0301020604";"Oslo LKS 020604";"03012406";"Tøyen Rode 6"
"0301020604";"Oslo LKS 020604";"03012410";"Tøyen Rode 10"
"0301020801";"Oslo LKS 020801";"03014308";"Løren Øst"
"0301020802";"Oslo LKS 020802";"03014306";"Nordre Sinsen"
"0301020802";"Oslo LKS 020802";"03014309";"Løren Vest"
"0301020803";"Oslo LKS 020803";"03014311";"Frydenberg Nord"
"0301020804";"Oslo LKS 020804";"03014310";"Frydenberg Øst"
"0301020804";"Oslo LKS 020804";"03014312";"Frydenberg Vest"
"0301020901";"Oslo LKS 020901";"03014304";"Søndre Hovin"
"0301020902";"Oslo LKS 020902";"03014315";"Lille Tøyen Øst"
"0301020903";"Oslo LKS 020903";"03014313";"Lille Tøyen Nord"
"0301020904";"Oslo LKS 020904";"03014314";"Lille Tøyen Vest"
"0301030101";"Oslo LKS 030101";"03011404";"Ila Rode 4"
"0301030101";"Oslo LKS 030101";"03011406";"Ila Rode 6"
"0301030102";"Oslo LKS 030102";"03011405";"Ila Rode 5"
"0301030103";"Oslo LKS 030103";"03012001";"Torshov Rode 1"
"0301030104";"Oslo LKS 030104";"03012002";"Torshov Rode 2"
"0301030201";"Oslo LKS 030201";"03011601";"Sagene Rode 1"
"0301030201";"Oslo LKS 030201";"03011602";"Sagene Rode 2"
"0301030202";"Oslo LKS 030202";"03011605";"Sagene Rode 5"
"0301030203";"Oslo LKS 030203";"03011603";"Sagene Rode 3"
"0301030203";"Oslo LKS 030203";"03011604";"Sagene Rode 4"
