levekaar,lksnavn,grunnkrets
0301010201,Oslo LKS 010201,03012401
0301010202,Oslo LKS 010202,03012502
0301010202,Oslo LKS 010202,03012503
0301010203,Oslo LKS 010203,03012504
0301010204,Oslo LKS 010204,03012507
0301010204,Oslo LKS 010204,03012509
0301010205,Oslo LKS 010205,03012508
0301010301,Oslo LKS 010301,03012505
0301010301,Oslo LKS 010301,03012506
0301010302,Oslo LKS 010302,03012601
0301010303,Oslo LKS 010303,03012605
0301010304,Oslo LKS 010304,03012803
0301010304,Oslo LKS 010304,03012804
0301010401,Oslo LKS 010401,03012408
0301010401,Oslo LKS 010401,03012409
0301010402,Oslo LKS 010402,03012602
0301010403,Oslo LKS 010403,03012604
0301010403,Oslo LKS 010403,03012606
0301010501,Oslo LKS 010501,03012603
0301010501,Oslo LKS 010501,03012608
0301010502,Oslo LKS 010502,03012607
0301010502,Oslo LKS 010502,03012609
0301010502,Oslo LKS 010502,03012610
0301010601,Oslo LKS 010601,03012701
0301010601,Oslo LKS 010601,03012702
0301010602,Oslo LKS 010602,03012703
0301010603,Oslo LKS 010603,03012704
0301010603,Oslo LKS 010603,03012705
0301010603,Oslo LKS 010603,03012706
0301010801,Oslo LKS 010801,03012801
0301010801,Oslo LKS 010801,03012802
0301010802,Oslo LKS 010802,03012805
0301010803,Oslo LKS 010803,03013513
0301010804,Oslo LKS 010804,03013514
0301010804,Oslo LKS 010804,03013516
0301010804,Oslo LKS 010804,03013517
0301010805,Oslo LKS 010805,03013515
0301010901,Oslo LKS 010901,03012902
0301010901,Oslo LKS 010901,03013001
0301010901,Oslo LKS 010901,03015701
0301010902,Oslo LKS 010902,03012903
0301011001,Oslo LKS 011001,03014211
0301011002,Oslo LKS 011002,03014202
0301011003,Oslo LKS 011003,03014212
0301011004,Oslo LKS 011004,03014213
0301011005,Oslo LKS 011005,03014214
0301011101,Oslo LKS 011101,03014203
0301011101,Oslo LKS 011101,03014204
0301011102,Oslo LKS 011102,03014210
0301020101,Oslo LKS 020101,03010210
0301020102,Oslo LKS 020102,03010207
0301020102,Oslo LKS 020102,03012301
0301020103,Oslo LKS 020103,03011305
0301020104,Oslo LKS 020104,03012302
0301020104,Oslo LKS 020104,03012303
0301020201,Oslo LKS 020201,03012306
0301020201,Oslo LKS 020201,03012311
0301020202,Oslo LKS 020202,03012304
0301020202,Oslo LKS 020202,03012305
0301020202,Oslo LKS 020202,03012312
0301020301,Oslo LKS 020301,03012007
0301020301,Oslo LKS 020301,03012008
0301020302,Oslo LKS 020302,03012202
0301020302,Oslo LKS 020302,03012313
0301020401,Oslo LKS 020401,03012201
0301020402,Oslo LKS 020402,03012203
0301020402,Oslo LKS 020402,03012207
0301020403,Oslo LKS 020403,03012204
0301020403,Oslo LKS 020403,03012205
0301020403,Oslo LKS 020403,03012206
0301020404,Oslo LKS 020404,03012208
0301020501,Oslo LKS 020501,03012101
0301020502,Oslo LKS 020502,03012103
0301020502,Oslo LKS 020502,03012104
0301020502,Oslo LKS 020502,03012105
0301020503,Oslo LKS 020503,03012106
0301020503,Oslo LKS 020503,03012107
0301020504,Oslo LKS 020504,03012108
0301020504,Oslo LKS 020504,03012109
0301020601,Oslo LKS 020601,03012307
0301020601,Oslo LKS 020601,03012402
0301020602,Oslo LKS 020602,03012209
0301020602,Oslo LKS 020602,03012308
0301020602,Oslo LKS 020602,03012309
0301020602,Oslo LKS 020602,03012310
0301020603,Oslo LKS 020603,03012403
0301020603,Oslo LKS 020603,03012404
0301020604,Oslo LKS 020604,03012405
0301020604,Oslo LKS 020604,03012406
0301020604,Oslo LKS 020604,03012410
0301020801,Oslo LKS 020801,03014308
0301020802,Oslo LKS 020802,03014306
0301020802,Oslo LKS 020802,03014309
0301020803,Oslo LKS 020803,03014311
0301020804,Oslo LKS 020804,03014310
0301020804,Oslo LKS 020804,03014312
0301020901,Oslo LKS 020901,03014304
0301020902,Oslo LKS 020902,03014315
0301020903,Oslo LKS 020903,03014313
0301020904,Oslo LKS 020904,03014314
0301030101,Oslo LKS 030101,03011404
0301030101,Oslo LKS 030101,03011406
0301030102,Oslo LKS 030102,03011405
0301030103,Oslo LKS 030103,03012001
0301030104,Oslo LKS 030104,03012002
0301030201,Oslo LKS 030201,03011601
0301030201,Oslo LKS 030201,03011602
0301030202,Oslo LKS 030202,03011605
0301030203,Oslo LKS 030203,03011603
0301030203,Oslo LKS 030203,03011604
0301030204,Oslo LKS 030204,03011606
0301030204,Oslo LKS 030204,03011607
0301030301,Oslo LKS 030301,03011701
0301030301,Oslo LKS 030301,03011702
0301030302,Oslo LKS 030302,03011703
0301030302,Oslo LKS 030302,03011704
0301030303,Oslo LKS 030303,03011705
0301030303,Oslo LKS 030303,03011706
0301030304,Oslo LKS 030304,03011707
0301030304,Oslo LKS 030304,03011708
0301030401,Oslo LKS 030401,03011801
0301030402,Oslo LKS 030402,03011803
0301030403,Oslo LKS 030403,03011804
0301030404,Oslo LKS 030404,03011903
0301030404,Oslo LKS 030404,03011906
0301030404,Oslo LKS 030404,03011909
0301030405,Oslo LKS 030405,03011904
0301030406,Oslo LKS 030406,03011910
0301030501,Oslo LKS 030501,03011901
0301030501,Oslo LKS 030501,03012003
0301030501,Oslo LKS 030501,03012004
0301030502,Oslo LKS 030502,03011902
0301030503,Oslo LKS 030503,03011907
0301030503,Oslo LKS 030503,03011908
0301030504,Oslo LKS 030504,03012010
0301030504,Oslo LKS 030504,03012102
0301030505,Oslo LKS 030505,03012005
0301030505,Oslo LKS 030505,03012006
0301030506,Oslo LKS 030506,03012009
0301030506,Oslo LKS 030506,03012012
0301040101,Oslo LKS 040101,03010201
0301040101,Oslo LKS 040101,03010202
0301040101,Oslo LKS 040101,03010213
0301040102,Oslo LKS 040102,03010204
0301040102,Oslo LKS 040102,03010206
0301040103,Oslo LKS 040103,03010205
0301040103,Oslo LKS 040103,03010208
0301040103,Oslo LKS 040103,03010209
0301040104,Oslo LKS 040104,03010212
0301040201,Oslo LKS 040201,03011201
0301040202,Oslo LKS 040202,03011202
0301040202,Oslo LKS 040202,03011203
0301040203,Oslo LKS 040203,03011204
0301040204,Oslo LKS 040204,03011205
0301040204,Oslo LKS 040204,03011206
0301040205,Oslo LKS 040205,03011207
0301040205,Oslo LKS 040205,03011208
0301040301,Oslo LKS 040301,03011301
0301040301,Oslo LKS 040301,03011304
0301040302,Oslo LKS 040302,03011302
0301040302,Oslo LKS 040302,03011303
0301040303,Oslo LKS 040303,03011211
0301040303,Oslo LKS 040303,03011401
