levekaar,lksnavn,grunnkrets
1103010001,Stavanger LKS 010001,11031102
1103010001,Stavanger LKS 010001,11031211
1103010001,Stavanger LKS 010001,11031223
1103010001,Stavanger LKS 010001,11031224
1103010002,Stavanger LKS 010002,11031214
1103010002,Stavanger LKS 010002,11031225
1103010002,Stavanger LKS 010002,11031226
1103010003,Stavanger LKS 010003,11030101
1103010003,Stavanger LKS 010003,11030102
1103010003,Stavanger LKS 010003,11030104
1103010003,Stavanger LKS 010003,11030105
1103010004,Stavanger LKS 010004,11031207
1103010004,Stavanger LKS 010004,11031208
1103010004,Stavanger LKS 010004,11031209
1103010005,Stavanger LKS 010005,11031210
1103010006,Stavanger LKS 010006,11031205
1103010006,Stavanger LKS 010006,11031206
1103010006,Stavanger LKS 010006,11031215
1103010007,Stavanger LKS 010007,11031216
1103010007,Stavanger LKS 010007,11031217
1103010007,Stavanger LKS 010007,11031218
1103010007,Stavanger LKS 010007,11031219
1103010007,Stavanger LKS 010007,11031220
1103010007,Stavanger LKS 010007,11031221
1103010007,Stavanger LKS 010007,11031222
1103020001,Stavanger LKS 020001,11032703
1103020001,Stavanger LKS 020001,11032716
1103020001,Stavanger LKS 020001,11032717
1103020001,Stavanger LKS 020001,11032718
1103020002,Stavanger LKS 020002,11032714
1103020003,Stavanger LKS 020003,11032605
1103020003,Stavanger LKS 020003,11032606
1103020003,Stavanger LKS 020003,11032607
1103020003,Stavanger LKS 020003,11032715
1103020004,Stavanger LKS 020004,11030910
1103020004,Stavanger LKS 020004,11032603
1103020005,Stavanger LKS 020005,11032608
1103020005,Stavanger LKS 020005,11032609
1103020005,Stavanger LKS 020005,11032610
1103020005,Stavanger LKS 020005,11032711
1103020006,Stavanger LKS 020006,11032726
1103020006,Stavanger LKS 020006,11032727
1103020007,Stavanger LKS 020007,11032708
1103020007,Stavanger LKS 020007,11032709
1103020007,Stavanger LKS 020007,11032710
1103020007,Stavanger LKS 020007,11032712
1103020007,Stavanger LKS 020007,11032719
