GEO,NAVN,FRA,TIL,GEOniv
120101,Arna,1980,2019,B
120102,Bergenhus,1980,2019,B
120103,Fana,1980,2019,B
120104,Fyllingsdalen,1980,2019,B
120105,Laksevåg,1980,2019,B
120106,Ytrebygda,1980,2019,B
120107,Årstad,1980,2019,B
120108,Åsane,1980,2019,B
120199,Uoppgitt bydel Bergen,1980,2019,B
160101,Midtbyen,2004,2017,B
160102,Østbyen,2004,2017,B
160103,Lerkendal,2004,2017,B
160104,Heimdal,2004,2017,B
160199,Uoppgitt bydel Trondheim,1980,2017,B
190201,Tromsøya sør,1980,2019,B
190202,Tromsøya nord,1980,2019,B
190203,Kroken-Lunheim,1980,2019,B
190204,Tromsdalen,1980,2019,B
190205,Kvaløybyen,1980,2019,B
190208,Ullsfjord,1980,2019,B
190209,Ramfjord,1980,2019,B
190210,Fastlandet nord,1980,2019,B
190211,Kvaløya sør - Malangen,1980,2019,B
190212,Kvaløya nord m/øyene,1980,2019,B
190299,Uoppgitt bydel Tromsø,1980,2019,B
540101,Tromsøya sør,2020,2023,B
540102,Tromsøya nord,2020,2023,B
540103,Kroken-Lunheim,2020,2023,B
540104,Tromsdalen,2020,2023,B
540105,Kvaløybyen,2020,2023,B
540108,Ullsfjord,2020,2023,B
540109,Ramfjord,2020,2023,B
540110,Fastlandet nord,2020,2023,B
540111,Kvaløya sør - Malangen,2020,2023,B
540112,Kvaløya nord m/øyene,2020,2023,B
540199,Uoppgitt bydel Tromsø,2020,2023,B
